Product_Type,Country_Code,Country_Name,2014,2015,2016,2017,2018,Jan-Mar 18,Jan-Mar 19
Hog imports,4210,Netherlands,18,,13,,,,
Hog imports,,Other countries,0,0,0,0,0,0,0
Hog imports,,"Total
 ",4947243,5740375,5657037,5597077,5254498,1358270,1338556
Hog exports,2010,Mexico,4411,26440,19131,28167,37140,3343,9645
Hog exports,1220,Canada,2971,6328,2561,3123,2368,574,1188
Hog exports,5700,China (Mainland),1164,444,1160,5824,7686,2052,43
Hog exports,5800,South Korea,1160,617,8450,1032,1046,,3
Hog exports,3510,Brazil,234,588,474,1460,3636,1790,143
Hog exports,3310,Ecuador,306,,491,2820,383,,32
Hog exports,3010,Colombia,181,,378,292,3114,,
Hog exports,5650,Philippines,,2022,614,895,290,60,
Hog exports,5880,Japan,437,748,982,727,818,494,
Hog exports,5660,Macao (Macau),1564,852,1168,,,,
Hog exports,5520,Vietnam,1038,937,680,543,135,,
Hog exports,4120,United Kingdom,120,214,203,1487,1053,715,678
Hog exports,5820,Hong Kong,1417,127,1047,,195,,
Hog exports,4621,Russia,2728,,,,,,
Hog exports,2050,Guatemala,,77,2050,91,86,,
Hog exports,5830,China (Taiwan),,358,578,930,427,283,350
Hog exports,3330,Peru,,,,1982,272,272,3
Hog exports,5590,Singapore,,,1972,25,,,
Hog exports,2150,Honduras,,,1804,,15,,
Hog exports,2470,Dominican Republic,,,452,304,1048,480,
Hog exports,,Other countries,1202,849,3823,9668,4133,1361,3190
Hog exports,,"Total
 ",18933,40601,48018,59370,63845,11424,15275
Lamb imports,6021,Australia,121311,128323,140144,149366,150419,40554,49572
Lamb imports,6141,New Zealand,41845,48276,46614,53365,52921,12854,16453
Lamb imports,3370,Chile,555,1440,589,1730,1151,78,119
Lamb imports,4000,Iceland,336,441,393,502,448,,
Lamb imports,1220,Canada,247,243,138,187,137,37,30
Lamb imports,3550,Uruguay,211,,5,31,390,8,115
Lamb imports,2010,Mexico,,,5,33,74,,87
Lamb imports,5700,China (Mainland),,,,,73,47,
Lamb imports,7870,Mozambique,,,,,63,,
Lamb imports,2190,Nicaragua,,16,,,,,
Lamb imports,4050,Finland,,,9,,,,
Lamb imports,,Other countries,0,0,0,0,0,0,0
Lamb imports,,"Total
 ",164504,178740,187896,205214,205676,53579,66376
Lamb imports,6021,Australia,25930,26802,21936,32911,58479,21137,12651
Lamb imports,6141,New Zealand,3782,8109,5952,13004,8302,5116,1251
Lamb imports,3370,Chile,655,72,136,579,37,37,
